Year,Extraversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position,Pets,Piercings
First Year,8,3,9,Right-handed,Right leg in first,On your right side,"Cat, Dog, chickens",2
Third Year,3,2,8,Right-handed,Left leg in first,On your left side,"Cat, Dog, Rabbit",2
Second Year,4,4,7,Left-handed,I don't know,On your right side,"Cat, Dog, Rabbit, Bird, Hamster or Guinea Pig",2
Fourth Year,8,4,6,Right-handed,Left leg in first,On your back,"Cat, Dog, shrimp",2
Second Year,3,4,7,Right-handed,Left leg in first,On your right side,"Cat, Dog, Turtle, chickens!",2
Second Year,7,10,7,Right-handed,Right leg in first,On your left side,"Cat, Fish, Bird",2
First Year,3,2,8,Right-handed,I don't know,On your right side,"Cat, Lizard",2
Second Year,8,10,7.5,Right-handed,Right leg in first,On your back,"Cat, Rabbit",2
First Year,7,8,6,Right-handed,I don't know,On your back,Dog,2
First Year,3,2,8,Right-handed,I don't know,On your back,Dog,2
First Year,9,9,6,Left-handed,Left leg in first,On your back,Dog,2
Second Year,10,10,8,Left-handed,Left leg in first,On your back,Dog,2
First Year,3,4,5,Right-handed,Left leg in first,On your back,Dog,2
First Year,5,8,6,Right-handed,Left leg in first,On your back,Dog,2
First Year,9,3,7,Right-handed,Left leg in first,On your back,Dog,2
Second Year,9,7,7,Right-handed,Left leg in first,On your back,Dog,2
First Year,8,8,7,Right-handed,Left leg in first,On your back,Dog,2
Second Year,7,10,7,Right-handed,Left leg in first,On your back,Dog,2
Third Year,7,10,7,Right-handed,Left leg in first,On your back,Dog,2
First Year,6,6,7.5,Right-handed,Left leg in first,On your back,Dog,2
First Year,9,3,8,Right-handed,Left leg in first,On your back,Dog,2
Second Year,7,3,8,Right-handed,Left leg in first,On your back,Dog,2
Third Year,7,5,8,Right-handed,Left leg in first,On your back,Dog,2
First Year,3,20,8,Right-handed,Left leg in first,On your back,Dog,2
Second Year,7,5,8.5,Right-handed,Left leg in first,On your back,Dog,2
First Year,10,12,9,Right-handed,Left leg in first,On your back,Dog,2
Second Year,7,3,6,Left-handed,Right leg in first,On your back,Dog,2
First Year,2,3,7,Left-handed,Right leg in first,On your back,Dog,2
Third Year,5,7,5,Right-handed,Right leg in first,On your back,Dog,2
Second Year,6,3,6,Right-handed,Right leg in first,On your back,Dog,2
First Year,3,7,6,Right-handed,Right leg in first,On your back,Dog,2
First Year,4,15,6,Right-handed,Right leg in first,On your back,Dog,2
First Year,4,10,6.5,Right-handed,Right leg in first,On your back,Dog,2
First Year,3,2,7,Right-handed,Right leg in first,On your back,Dog,2
Third Year,7,3,7,Right-handed,Right leg in first,On your back,Dog,2
First Year,6,3,7,Right-handed,Right leg in first,On your back,Dog,2
First Year,6,4,7,Right-handed,Right leg in first,On your back,Dog,2
Fourth Year,10,5,7,Right-handed,Right leg in first,On your back,Dog,2
Second Year,7,8,7,Right-handed,Right leg in first,On your back,Dog,2
First Year,5,5,8,Right-handed,Right leg in first,On your back,Dog,2
Second Year,3,7,8,Right-handed,Right leg in first,On your back,Dog,2
Second Year,8,8,8,Right-handed,Right leg in first,On your back,Dog,2
First Year,6,2,7,Right-handed,I don't know,On your left side,Dog,2
First Year,6,7,8,Right-handed,I don't know,On your left side,Dog,2
Second Year,2,5,8,Ambidextrous,Left leg in first,On your left side,Dog,2
First Year,7,10,5,Right-handed,Left leg in first,On your left side,Dog,2
Second Year,6,6,6,Right-handed,Left leg in first,On your left side,Dog,2
Third Year,2,5,7,Right-handed,Left leg in first,On your left side,Dog,2
First Year,5,10,7,Right-handed,Left leg in first,On your left side,Dog,2
First Year,6,5,8,Right-handed,Left leg in first,On your left side,Dog,2
Second Year,5,9,9,Right-handed,Left leg in first,On your left side,Dog,2
Third Year,5,5,4,Right-handed,Right leg in first,On your left side,Dog,2
Second Year,5,3,6,Right-handed,Right leg in first,On your left side,Dog,2
Third Year,5,3,6,Right-handed,Right leg in first,On your left side,Dog,2
First Year,6,4,6,Right-handed,Right leg in first,On your left side,Dog,2
First Year,9,10,6,Right-handed,Right leg in first,On your left side,Dog,2
First Year,7,15,6.5,Right-handed,Right leg in first,On your left side,Dog,2
First Year,6,4,7,Right-handed,Right leg in first,On your left side,Dog,2
First Year,7,5,7,Right-handed,Right leg in first,On your left side,Dog,2
First Year,5,6,7,Right-handed,Right leg in first,On your left side,Dog,2
First Year,8,10,7,Right-handed,Right leg in first,On your left side,Dog,2
First Year,8,25,7,Right-handed,Right leg in first,On your left side,Dog,2
First Year,8,2,8,Right-handed,Right leg in first,On your left side,Dog,2
First Year,3,4,8,Right-handed,Right leg in first,On your left side,Dog,2
First Year,8,6,8,Right-handed,Right leg in first,On your left side,Dog,2
Second Year,3,10,9.5,Right-handed,Right leg in first,On your left side,Dog,2
Third Year,4,3,10,Right-handed,Right leg in first,On your left side,Dog,2
First Year,4,3,6,Right-handed,I don't know,On your right side,Dog,2
First Year,8,5,6,Right-handed,I don't know,On your right side,Dog,2
Fifth Year or above,3,2,7,Right-handed,I don't know,On your right side,Dog,2
First Year,8,5,7,Right-handed,I don't know,On your right side,Dog,2
First Year,7,10,7,Right-handed,I don't know,On your right side,Dog,2
First Year,5,7,8,Right-handed,I don't know,On your right side,Dog,2
First Year,4,7,8,Left-handed,Left leg in first,On your right side,Dog,2
First Year,4,5,5,Right-handed,Left leg in first,On your right side,Dog,2
First Year,4,10,5,Right-handed,Left leg in first,On your right side,Dog,2
First Year,6,5,6,Right-handed,Left leg in first,On your right side,Dog,2
Second Year,6,5,6,Right-handed,Left leg in first,On your right side,Dog,2
Third Year,6,5,6,Right-handed,Left leg in first,On your right side,Dog,2
First Year,2,4,7,Right-handed,Left leg in first,On your right side,Dog,2
Third Year,5,10,7,Right-handed,Left leg in first,On your right side,Dog,2
Graduate Student,3,3,8,Right-handed,Left leg in first,On your right side,Dog,2
First Year,5,5,8,Right-handed,Left leg in first,On your right side,Dog,2
First Year,8,10,7,Left-handed,Right leg in first,On your right side,Dog,2
Third Year,7,12,7,Left-handed,Right leg in first,On your right side,Dog,2
Third Year,9,3,8,Left-handed,Right leg in first,On your right side,Dog,2
Second Year,4,4,8,Left-handed,Right leg in first,On your right side,Dog,2
Second Year,6,4,6,Right-handed,Right leg in first,On your right side,Dog,2
First Year,5,4,6,Right-handed,Right leg in first,On your right side,Dog,2
First Year,4,7,6,Right-handed,Right leg in first,On your right side,Dog,2
First Year,7,10,6,Right-handed,Right leg in first,On your right side,Dog,2
Second Year,7,1,7,Right-handed,Right leg in first,On your right side,Dog,2
First Year,3,3,7,Right-handed,Right leg in first,On your right side,Dog,2
First Year,6,5,7,Right-handed,Right leg in first,On your right side,Dog,2
Third Year,3,5,7,Right-handed,Right leg in first,On your right side,Dog,2
First Year,4,10,7,Right-handed,Right leg in first,On your right side,Dog,2
First Year,7,15,7,Right-handed,Right leg in first,On your right side,Dog,2
Third Year,4,2,8,Right-handed,Right leg in first,On your right side,Dog,2
Second Year,5,5,8,Right-handed,Right leg in first,On your right side,Dog,2
Second Year,5,5,8,Right-handed,Right leg in first,On your right side,Dog,2
Second Year,4,6,8,Right-handed,Right leg in first,On your right side,Dog,2
First Year,7,7,8,Right-handed,Right leg in first,On your right side,Dog,2
Second Year,2,3,10,Right-handed,Right leg in first,On your right side,Dog,2
Third Year,7,30,6,Right-handed,I don't know,On your stomach,Dog,2
Second Year,9,4,5,Ambidextrous,Left leg in first,On your stomach,Dog,2
Third Year,7,3,5,Right-handed,Left leg in first,On your stomach,Dog,2
Fourth Year,8,3,8,Right-handed,Left leg in first,On your stomach,Dog,2
Second Year,8,12,8,Right-handed,Left leg in first,On your stomach,Dog,2
Second Year,7,3,7,Right-handed,Right leg in first,On your stomach,Dog,2
Third Year,3,3,7,Right-handed,Right leg in first,On your stomach,Dog,2
First Year,8,5,7,Right-handed,Right leg in first,On your stomach,Dog,2
Second Year,2,6,7,Right-handed,Right leg in first,On your stomach,Dog,2
Third Year,3,4,8,Right-handed,Right leg in first,On your stomach,Dog,2
First Year,3,5,8,Right-handed,Right leg in first,On your stomach,Dog,2
Third Year,3,5,8,Right-handed,Right leg in first,On your stomach,Dog,2
First Year,8,8,8,Right-handed,Right leg in first,On your stomach,Dog,2
First Year,10,10,8,Right-handed,Right leg in first,On your stomach,Dog,2
First Year,9,10,8,Right-handed,Right leg in first,On your stomach,Dog,2
Second Year,8,20,8,Right-handed,Right leg in first,On your stomach,Dog,2
Second Year,5,3,9,Right-handed,Right leg in first,On your stomach,"Dog, Bird",2
First Year,7,6,6,Right-handed,Left leg in first,On your left side,"Dog, brother",2
Third Year,5,3,8,Right-handed,Right leg in first,On your back,"Dog, Fish",2
Second Year,8,100,8,Right-handed,Right leg in first,On your back,"Dog, Fish",2
First Year,5,4,8,Left-handed,Left leg in first,On your left side,"Dog, Fish",2
First Year,6,4,7,Right-handed,Left leg in first,On your left side,"Dog, Fish",2
Second Year,10,10,7,Left-handed,Left leg in first,On your right side,"Dog, Fish",2
First Year,7,6,5,Right-handed,Right leg in first,On your right side,"Dog, Fish",2
Third Year,8,3,8,Left-handed,Right leg in first,On your stomach,"Dog, Fish",2
First Year,7,4,8,Right-handed,I don't know,On your back,"Dog, Fish, Bird",2
Second Year,8,7,8,Right-handed,Right leg in first,On your right side,"Dog, Fish, Turtle, Bird",2
First Year,7,4,6,Right-handed,Left leg in first,On your stomach,"Dog, Hamster or Guinea Pig, duck",2
First Year,4,4,7,Right-handed,Left leg in first,On your back,"Dog, Turtle",2
Fourth Year,8,8,9,Right-handed,Left leg in first,On your back,"Dog, Turtle",2
First Year,5,1,7,Right-handed,Left leg in first,On your stomach,"Dog, Turtle",2
Third Year,1,3,8,Right-handed,Left leg in first,On your left side,Eufy (robot vacuum),2
First Year,5,3,7,Right-handed,Left leg in first,On your back,Fish,2
Second Year,6,3,6,Right-handed,Right leg in first,On your back,Fish,2
First Year,3,3,7,Right-handed,Right leg in first,On your back,Fish,2
Second Year,5,3,7,Left-handed,Left leg in first,On your left side,Fish,2
First Year,4,8,7,Right-handed,Left leg in first,On your right side,Fish,2
Third Year,4,3,7,Right-handed,Right leg in first,On your right side,Fish,2
Third Year,7,5,7,Right-handed,Right leg in first,On your right side,Fish,2
First Year,6,8,7,Right-handed,Right leg in first,On your right side,Fish,2
First Year,7,4,7,Right-handed,Right leg in first,On your left side,"Fish, Rabbit",2
Second Year,6,20,6,Right-handed,Right leg in first,On your right side,"Fish, Turtle",2
First Year,9,10,8,Right-handed,Left leg in first,On your left side,Hamster or Guinea Pig,2
First Year,8,7,6,Right-handed,I don't know,On your back,None,2
First Year,6,7,6,Right-handed,I don't know,On your back,None,2
First Year,4,10,6,Right-handed,I don't know,On your back,None,2
Second Year,7,1,8.5,Right-handed,I don't know,On your back,None,2
First Year,7,3,6,Right-handed,Left leg in first,On your back,None,2
First Year,7,3,7,Right-handed,Left leg in first,On your back,None,2
Third Year,3,3,7,Right-handed,Left leg in first,On your back,None,2
First Year,7,5,7,Right-handed,Left leg in first,On your back,None,2
Fourth Year,7,5,7,Right-handed,Left leg in first,On your back,None,2
First Year,1,12,8,Right-handed,Left leg in first,On your back,None,2
First Year,3,2,9,Right-handed,Left leg in first,On your back,None,2
First Year,7,8,7,Left-handed,Right leg in first,On your back,None,2
Second Year,10,5,4,Right-handed,Right leg in first,On your back,None,2
Second Year,7,5,5,Right-handed,Right leg in first,On your back,None,2
Second Year,4,3,6,Right-handed,Right leg in first,On your back,None,2
Third Year,8,6,6.5,Right-handed,Right leg in first,On your back,None,2
Third Year,7,3,7,Right-handed,Right leg in first,On your back,None,2
Second Year,6,5,7,Right-handed,Right leg in first,On your back,None,2
Fourth Year,5,7,7,Right-handed,Right leg in first,On your back,None,2
First Year,5,10,7,Right-handed,Right leg in first,On your back,None,2
Third Year,10,4,8,Right-handed,Right leg in first,On your back,None,2
Second Year,5,4,8,Right-handed,Right leg in first,On your back,None,2
Second Year,4,4,8,Right-handed,Right leg in first,On your back,None,2
First Year,7,5,8,Right-handed,Right leg in first,On your back,None,2
First Year,8,3,6,Right-handed,I don't know,On your left side,None,2
Second Year,4,4,6,Right-handed,I don't know,On your left side,None,2
Third Year,6,5,6,Right-handed,I don't know,On your left side,None,2
First Year,4,3,7,Right-handed,I don't know,On your left side,None,2
First Year,7,7,7.5,Right-handed,I don't know,On your left side,None,2
First Year,4,5,8,Right-handed,I don't know,On your left side,None,2
First Year,3,5,8,Right-handed,I don't know,On your left side,None,2
Third Year,2,2,6,Left-handed,Left leg in first,On your left side,None,2
First Year,7,4,7,Left-handed,Left leg in first,On your left side,None,2
Third Year,7,6,7.5,Left-handed,Left leg in first,On your left side,None,2
First Year,8,5,8,Left-handed,Left leg in first,On your left side,None,2
Second Year,4,5,4,Right-handed,Left leg in first,On your left side,None,2
First Year,6,9,5,Right-handed,Left leg in first,On your left side,None,2
Fourth Year,2,2,6,Right-handed,Left leg in first,On your left side,None,2
Third Year,1,2,6,Right-handed,Left leg in first,On your left side,None,2
First Year,4,5,6.5,Right-handed,Left leg in first,On your left side,None,2
Second Year,4,3,7,Right-handed,Left leg in first,On your left side,None,2
First Year,5,4,7,Right-handed,Left leg in first,On your left side,None,2
First Year,4,5,7,Right-handed,Left leg in first,On your left side,None,2
First Year,5,3,8,Right-handed,Left leg in first,On your left side,None,2
Second Year,4,8,8,Right-handed,Left leg in first,On your left side,None,2
First Year,7,10,8,Right-handed,Left leg in first,On your left side,None,2
Second Year,6,10,8.5,Ambidextrous,Right leg in first,On your left side,None,2
First Year,7,2,7,Left-handed,Right leg in first,On your left side,None,2
First Year,5,5,8,Left-handed,Right leg in first,On your left side,None,2
Second Year,8,8,8,Left-handed,Right leg in first,On your left side,None,2
First Year,8,3,6,Right-handed,Right leg in first,On your left side,None,2
Second Year,6,3,6,Right-handed,Right leg in first,On your left side,None,2
Third Year,6,3,6,Right-handed,Right leg in first,On your left side,None,2
First Year,7,4,6,Right-handed,Right leg in first,On your left side,None,2
First Year,7,5,6,Right-handed,Right leg in first,On your left side,None,2
First Year,5,6,6,Right-handed,Right leg in first,On your left side,None,2
Second Year,7,7,6,Right-handed,Right leg in first,On your left side,None,2
First Year,6,10,6,Right-handed,Right leg in first,On your left side,None,2
First Year,6,10,6.5,Right-handed,Right leg in first,On your left side,None,2
Second Year,5,3,7,Right-handed,Right leg in first,On your left side,None,2
First Year,7,4,7,Right-handed,Right leg in first,On your left side,None,2
Second Year,6,4,7,Right-handed,Right leg in first,On your left side,None,2
Second Year,3,5,7,Right-handed,Right leg in first,On your left side,None,2
First Year,3,6,7,Right-handed,Right leg in first,On your left side,None,2
First Year,5,8,7,Right-handed,Right leg in first,On your left side,None,2
Second Year,5,3,8,Right-handed,Right leg in first,On your left side,None,2
Second Year,3,3,8,Right-handed,Right leg in first,On your left side,None,2
Second Year,7,4,8,Right-handed,Right leg in first,On your left side,None,2
First Year,6,4,8,Right-handed,Right leg in first,On your left side,None,2
First Year,7,7,8.5,Right-handed,Right leg in first,On your left side,None,2
Second Year,5,10,9,Right-handed,Right leg in first,On your left side,None,2
Second Year,7,10,6,Left-handed,I don't know,On your right side,None,2
Fourth Year,4,3,5,Right-handed,I don't know,On your right side,None,2
Third Year,7,4,6,Right-handed,I don't know,On your right side,None,2
First Year,5,3,7,Right-handed,I don't know,On your right side,None,2
Second Year,8,5,7,Right-handed,I don't know,On your right side,None,2
First Year,7,5,7,Right-handed,I don't know,On your right side,None,2
Second Year,4,5,7,Right-handed,I don't know,On your right side,None,2
First Year,9,6,7,Right-handed,I don't know,On your right side,None,2
Third Year,8,8,7,Right-handed,I don't know,On your right side,None,2
First Year,9,3,8,Right-handed,I don't know,On your right side,None,2
Second Year,7,8,8,Right-handed,I don't know,On your right side,None,2
Fourth Year,5,10,8,Right-handed,I don't know,On your right side,None,2
Second Year,7,25,8,Right-handed,I don't know,On your right side,None,2
Second Year,7,7,7,Left-handed,Left leg in first,On your right side,None,2
Second Year,9,15,5,Right-handed,Left leg in first,On your right side,None,2
First Year,4,3,6,Right-handed,Left leg in first,On your right side,None,2
First Year,5,4,6,Right-handed,Left leg in first,On your right side,None,2
First Year,8,8,6,Right-handed,Left leg in first,On your right side,None,2
First Year,5,10,6,Right-handed,Left leg in first,On your right side,None,2
First Year,3,3,7,Right-handed,Left leg in first,On your right side,None,2
First Year,8,5,7,Right-handed,Left leg in first,On your right side,None,2
First Year,6,5,7,Right-handed,Left leg in first,On your right side,None,2
First Year,5,12,7.5,Right-handed,Left leg in first,On your right side,None,2
Fourth Year,6,2,8,Right-handed,Left leg in first,On your right side,None,2
Third Year,4,3,8,Right-handed,Left leg in first,On your right side,None,2
Second Year,7,8,8,Right-handed,Left leg in first,On your right side,None,2
First Year,8,10,8,Right-handed,Left leg in first,On your right side,None,2
Third Year,5,5,5,Right-handed,Right leg in first,On your right side,None,2
Third Year,5,2,6,Right-handed,Right leg in first,On your right side,None,2
Fourth Year,8,3,6,Right-handed,Right leg in first,On your right side,None,2
First Year,5,3,6,Right-handed,Right leg in first,On your right side,None,2
First Year,5,5,6,Right-handed,Right leg in first,On your right side,None,2
First Year,4,5,6,Right-handed,Right leg in first,On your right side,None,2
Third Year,3,5,6,Right-handed,Right leg in first,On your right side,None,2
First Year,8,15,6,Right-handed,Right leg in first,On your right side,None,2
Second Year,7,20,6,Right-handed,Right leg in first,On your right side,None,2
Second Year,1,1,7,Right-handed,Right leg in first,On your right side,None,2
Second Year,3,2,7,Right-handed,Right leg in first,On your right side,None,2
First Year,2,3,7,Right-handed,Right leg in first,On your right side,None,2
First Year,7,5,7,Right-handed,Right leg in first,On your right side,None,2
Fifth Year or above,5,5,7,Right-handed,Right leg in first,On your right side,None,2
First Year,5,5,7,Right-handed,Right leg in first,On your right side,None,2
First Year,4,5,7,Right-handed,Right leg in first,On your right side,None,2
Second Year,3,5,7,Right-handed,Right leg in first,On your right side,None,2
Second Year,4,6,7,Right-handed,Right leg in first,On your right side,None,2
First Year,4,4,8,Right-handed,Right leg in first,On your right side,None,2
First Year,8,5,8,Right-handed,Right leg in first,On your right side,None,2
First Year,5,7,8,Right-handed,Right leg in first,On your right side,None,2
Second Year,8,8,8,Right-handed,Right leg in first,On your right side,None,2
Fourth Year,9,10,8,Right-handed,Right leg in first,On your right side,None,2
First Year,7,10,8,Right-handed,Right leg in first,On your right side,None,2
Fourth Year,5,1,10,Right-handed,Right leg in first,On your right side,None,2
First Year,5,10,7,Right-handed,I don't know,On your stomach,None,2
First Year,3,6,7.5,Right-handed,I don't know,On your stomach,None,2
First Year,7,7,8,Right-handed,I don't know,On your stomach,None,2
First Year,6,6,6,Right-handed,Left leg in first,On your stomach,None,2
Fourth Year,6,5,8,Right-handed,Left leg in first,On your stomach,None,2
First Year,6,6,6,Right-handed,Right leg in first,On your stomach,None,2
Second Year,6,15,6,Right-handed,Right leg in first,On your stomach,None,2
First Year,3,5,7,Right-handed,Right leg in first,On your stomach,None,2
First Year,6,6,7,Right-handed,Right leg in first,On your stomach,None,2
Third Year,5,8,7,Right-handed,Right leg in first,On your stomach,None,2
First Year,4,18,7,Right-handed,Right leg in first,On your stomach,None,2
Fourth Year,7,20,7,Right-handed,Right leg in first,On your stomach,None,2
First Year,2,4,8,Right-handed,Right leg in first,On your stomach,None,2
Third Year,8,6,8,Right-handed,Right leg in first,On your stomach,None,2
Second Year,7,6,8,Right-handed,Right leg in first,On your stomach,None,2
First Year,5,11,8,Right-handed,Right leg in first,On your stomach,None,2
Third Year,3,2,9,Right-handed,Right leg in first,On your stomach,None,2
Third Year,3,3,9,Right-handed,Right leg in first,On your stomach,None,2
Second Year,3,6,6,Right-handed,Left leg in first,On your back,"None, ",2
Graduate Student,4,5,7,Right-handed,Right leg in first,On your left side,Rabbit,2
Third Year,6,5,9,Right-handed,Right leg in first,On your right side,Rabbit,2
Second Year,8,10,7,Right-handed,Left leg in first,On your left side,Turtle,2
First Year,6,5,4,Right-handed,Right leg in first,On your right side,Turtle,2
Fourth Year,6,3,5,Right-handed,Right leg in first,On your right side,Turtle,2
Second Year,4,5,7,Right-handed,Right leg in first,On your right side,Turtle,2
First Year,2,2,7,Right-handed,I don't know,On your left side,Worm,2
Second Year,4,3,7,Right-handed,Right leg in first,On your back,younger brother,2
First Year,4,5,6,Right-handed,I don't know,On your back,Cat,3
Fourth Year,5,15,8,Right-handed,I don't know,On your back,Cat,3
First Year,4,2,6,Ambidextrous,Left leg in first,On your back,Cat,3
Third Year,3,3,7,Right-handed,Left leg in first,On your back,Cat,3
Third Year,5,5,8,Right-handed,Right leg in first,On your back,Cat,3
Third Year,5,3,7,Right-handed,Left leg in first,On your left side,Cat,3
Fourth Year,5,5,8,Right-handed,I don't know,On your right side,Cat,3
Second Year,3,4,5,Right-handed,Right leg in first,On your right side,Cat,3
Third Year,1,3,7,Right-handed,I don't know,On your stomach,Cat,3
Fourth Year,7,4,8,Right-handed,Left leg in first,On your stomach,Cat,3
Second Year,4,2,7,Right-handed,Left leg in first,On your back,"Cat, Dog",3
Second Year,8,2,8,Right-handed,Right leg in first,On your left side,"Cat, Dog",3
Fourth Year,2,5,6,Right-handed,Right leg in first,On your right side,"Cat, Dog",3
Second Year,4,5,8,Right-handed,Right leg in first,On your right side,"Cat, Dog",3
Fifth Year or above,6,6,7,Right-handed,I don't know,On your right side,"Cat, Dog, Fish, Turtle, Rabbit, Hamster or Guinea Pig",3
Fourth Year,7,5,7,Right-handed,Right leg in first,On your right side,"Cat, Dog, Turtle, Bird",3
Third Year,10,4,6,Right-handed,Left leg in first,On your left side,"Cat, Pig",3
Third Year,6,3,7,Right-handed,Left leg in first,On your back,Dog,3
Second Year,7,7,8,Right-handed,Right leg in first,On your back,Dog,3
Third Year,4,5,7,Right-handed,Left leg in first,On your left side,Dog,3
Second Year,7,5,7,Right-handed,Right leg in first,On your left side,Dog,3
First Year,8,30,8,Right-handed,Right leg in first,On your left side,Dog,3
First Year,6,5,8,Right-handed,I don't know,On your right side,Dog,3
First Year,5,4,5.5,Right-handed,Left leg in first,On your right side,Dog,3
Second Year,6,18,7,Right-handed,Left leg in first,On your right side,Dog,3
Third Year,5,15,7.5,Right-handed,Left leg in first,On your right side,Dog,3
First Year,6,4,9,Right-handed,Left leg in first,On your right side,Dog,3
First Year,5,5,7,Right-handed,Right leg in first,On your right side,Dog,3
Second Year,4,4,8,Right-handed,Right leg in first,On your right side,Dog,3
Second Year,8,15,8,Right-handed,Right leg in first,On your right side,Dog,3
First Year,7,8,6,Right-handed,I don't know,On your stomach,Dog,3
Second Year,8,12,7,Right-handed,Left leg in first,On your stomach,Dog,3
Second Year,6,7,7,Right-handed,Right leg in first,On your right side,"Dog, Bird",3
Second Year,7,4,5,Right-handed,I don't know,On your right side,"Dog, Fish",3
Second Year,6,20,7,Right-handed,Right leg in first,On your stomach,"Dog, Turtle",3
Third Year,6,7,6,Right-handed,Right leg in first,On your right side,Emu,3
Second Year,10,10,6,Right-handed,Right leg in first,On your left side,Hamster or Guinea Pig,3
Graduate Student,6,4,7,Right-handed,Right leg in first,On your back,None,3
Second Year,3,4,8,Right-handed,Left leg in first,On your left side,None,3
Second Year,7,8,6,Right-handed,Right leg in first,On your left side,None,3
Second Year,4,5,7,Right-handed,Right leg in first,On your left side,None,3
First Year,8,10,7,Right-handed,Right leg in first,On your left side,None,3
Third Year,5,2,8,Right-handed,I don't know,On your right side,None,3
First Year,2,3,8,Right-handed,I don't know,On your right side,None,3
First Year,3,2,6,Right-handed,Left leg in first,On your right side,None,3
First Year,6,5,6,Right-handed,Left leg in first,On your right side,None,3
Second Year,7,2,7,Right-handed,Right leg in first,On your right side,None,3
First Year,6,3,7,Right-handed,Right leg in first,On your right side,None,3
First Year,4,4,7,Right-handed,Right leg in first,On your right side,None,3
Second Year,2,25,4,Right-handed,I don't know,On your stomach,None,3
Second Year,8,12,6,Right-handed,Left leg in first,On your stomach,None,3
First Year,3,7,7,Right-handed,Left leg in first,On your stomach,None,3
Second Year,6,5,5,Right-handed,Right leg in first,On your stomach,None,3
Second Year,5,25,7,Right-handed,Right leg in first,On your stomach,None,3
Third Year,1,6,5,Right-handed,Right leg in first,On your back,Rabbit,3
Fourth Year,8,8,7,Right-handed,Right leg in first,On your left side,Snake,3
First Year,8,8,6,Right-handed,Right leg in first,On your left side,Turtle,3
Fourth Year,10,5,8,Right-handed,Left leg in first,On your left side,bunny ~／(・ × ・)＼.,4
Fourth Year,3,2,6,Right-handed,I don't know,On your back,Cat,4
Fourth Year,6,17,7,Right-handed,I don't know,On your back,Cat,4
First Year,5,6,6,Right-handed,Left leg in first,On your left side,Cat,4
First Year,2,6,6,Right-handed,Left leg in first,On your left side,Cat,4
First Year,10,7,7,Right-handed,Left leg in first,On your left side,Cat,4
First Year,4,10,7,Right-handed,Right leg in first,On your left side,Cat,4
Fifth Year or above,6,3,5,Right-handed,Left leg in first,On your right side,Cat,4
Second Year,3,1,6,Right-handed,Left leg in first,On your right side,Cat,4
First Year,5,4,8,Right-handed,Left leg in first,On your right side,Cat,4
First Year,3,5,5,Right-handed,Right leg in first,On your right side,Cat,4
First Year,7,6,6,Right-handed,Right leg in first,On your right side,Cat,4
Third Year,5,8,7,Right-handed,Right leg in first,On your right side,Cat,4
Third Year,8,2,9,Right-handed,Right leg in first,On your right side,Cat,4
First Year,7,2,6,Right-handed,Left leg in first,On your stomach,Cat,4
First Year,7,15,5,Right-handed,Right leg in first,On your stomach,Cat,4
Third Year,5,2,8,Right-handed,Left leg in first,On your left side,"Cat, Dog",4
Third Year,7,7,7,Right-handed,Right leg in first,On your left side,"Cat, Dog",4
Second Year,7,15,8,Left-handed,Left leg in first,On your right side,"Cat, Dog",4
Second Year,7,20,8,Right-handed,Right leg in first,On your right side,"Cat, Dog",4
Third Year,2,2,8,Right-handed,Left leg in first,On your left side,"Cat, Dog, Fish",4
Second Year,5,5,7,Ambidextrous,Right leg in first,On your stomach,"Cat, Dog, Hamster or Guinea Pig",4
Second Year,8,10,7,Right-handed,Right leg in first,On your back,"Cat, Dog, Horse",4
Third Year,4,3,5,Right-handed,I don't know,On your left side,"Cat, Turtle",4
Third Year,3,8,7,Right-handed,Left leg in first,On your left side,chicken,4
Third Year,3,4,7,Right-handed,Left leg in first,On your left side,"crab, chicken, pig",4
Second Year,8,10,8,Right-handed,I don't know,On your back,Dog,4
Third Year,7,10,8,Left-handed,Right leg in first,On your back,Dog,4
First Year,5,6,6,Right-handed,Right leg in first,On your back,Dog,4
First Year,7,4,7,Right-handed,Right leg in first,On your back,Dog,4
Third Year,3,5,7,Right-handed,Right leg in first,On your back,Dog,4
Second Year,7,5,9,Right-handed,Right leg in first,On your back,Dog,4
First Year,3,2,6,Left-handed,I don't know,On your left side,Dog,4
Second Year,5,7,6,Right-handed,I don't know,On your left side,Dog,4
Second Year,6,10,8,Right-handed,Left leg in first,On your left side,Dog,4
First Year,9,4,6,Right-handed,Right leg in first,On your left side,Dog,4
Second Year,7,5,6,Right-handed,Right leg in first,On your left side,Dog,4
Second Year,7,5,7,Right-handed,Right leg in first,On your left side,Dog,4
Second Year,6,9,7,Right-handed,Right leg in first,On your left side,Dog,4
Fourth Year,3,5,8,Right-handed,Right leg in first,On your left side,Dog,4
First Year,6,10,6,Right-handed,I don't know,On your right side,Dog,4
First Year,7,7,7,Right-handed,I don't know,On your right side,Dog,4
Third Year,6,5,6,Right-handed,Left leg in first,On your right side,Dog,4
Second Year,6,2,7,Right-handed,Left leg in first,On your right side,Dog,4
Second Year,8,15,7,Right-handed,Left leg in first,On your right side,Dog,4
Second Year,7,12,7,Left-handed,Right leg in first,On your right side,Dog,4
Second Year,8,4,5,Right-handed,Right leg in first,On your right side,Dog,4
Second Year,5,4,6,Right-handed,Right leg in first,On your right side,Dog,4
First Year,8,10,6,Right-handed,Right leg in first,On your right side,Dog,4
